"","movieCd","movieNm","dom_or_for","nation","genre","reopen","year","month","date","openDt","salesAmt","salesPeak","salesTotal","audiCnt","audiPeak","audiTotal","showCnt","sales_per_show","audi_per_show","show_per_scrn","sales_over10b","audi_over5m"
"61","20181877","캡틴 마블","해외","미국","액션","초개봉",2019,3,2019-03-07,2019-03-06,2689305210,9080401749,51459630433,312694,1001712,5797321,10954,245508.965674639,28.5461018805916,5.48522784176264,"over",TRUE
"62","20196601","항거:유관순 이야기","국내","한국","드라마","초개봉",2019,3,2019-03-07,2019-02-27,156104950,2195096671,9185709011,20085,262491,1141083,1829,85349.8906506288,10.981410606889,2.95,"under",FALSE
"63","20177539","사바하","국내","한국","기타","초개봉",2019,3,2019-03-07,2019-02-20,120676810,1654706831,19978963414,14538,186751,2394285,1360,88732.9485294118,10.6897058823529,2.62548262548263,"over",FALSE
"64","20185881","증인","국내","한국","드라마","초개봉",2019,3,2019-03-07,2019-02-13,112647440,1272099600,20426848871,14173,148186,2527267,1538,73242.8088426528,9.21521456436931,2.76618705035971,"over",FALSE
"65","20182530","극한직업","국내","한국","코미디","초개봉",2019,3,2019-03-07,2019-01-23,95973520,1190333970,139565890466,12010,134879,16252575,884,108567.330316742,13.5859728506787,1.80040733197556,"over",TRUE
"66","20180937","더 페이버릿: 여왕의 여자","해외","미국","드라마","초개봉",2019,3,2019-03-07,2019-02-21,22096960,116226950,1179520730,2773,13111,140675,159,138974.591194969,17.440251572327,1.80681818181818,"under",FALSE
"67","20184574","그린 북","해외","미국","드라마","초개봉",2019,3,2019-03-07,2019-01-09,18520030,93878724,3689881360,2643,10469,441993,131,141374.27480916,20.175572519084,1.54117647058824,"under",FALSE
"68","20185350","칠곡 가시나들","국내","한국","기타","초개봉",2019,3,2019-03-07,2019-02-27,11380600,16100300,269776400,1523,2073,31472,171,66553.216374269,8.90643274853801,1.3359375,"under",FALSE
"69","20197723","킹 오브 프리즘 -샤이니 세븐 스타즈-","해외","일본","애니메이션","초개봉",2019,3,2019-03-07,2019-03-07,12159750,12159750,27918170,1514,1514,3189,57,213328.947368421,26.5614035087719,1.54054054054054,"under",FALSE
"70","20176103","돈","국내","한국","범죄","초개봉",2019,3,2019-03-07,2019-03-20,8004000,4347824286,28858356362,1334,480709,3387540,8,1000500,166.75,1,"over",FALSE
"71","20181877","캡틴 마블","해외","미국","액션","초개봉",2019,3,2019-03-08,2019-03-06,3876308141,9080401749,51459630433,413068,1001712,5797321,11220,345482.009001783,36.8153297682709,5.57100297914598,"over",TRUE
